                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5279,                 3.8854,                 1.5408,                0.82599,                0.77447,                0.78333,                0.50809,                 1.1302,                 3.1047,                  1.412,              0.0001667,              0.0001667,              0.0001667
                      2,                 1.3512,                 1.5875,                 1.3742,                0.82622,                0.69624,                0.80869,                0.54488,                 1.2032,                 2.5421,                 1.4517,              0.0003466,              0.0003466,              0.0003466
                      3,                 1.2864,                 1.4624,                 1.3341,                0.89876,                0.84272,                0.89888,                0.57828,                 1.2874,                 1.9595,                 1.4953,             0.00052288,             0.00052288,             0.00052288
                      4,                 1.3098,                 1.1219,                 1.3497,                0.86959,                0.83103,                0.86943,                0.50859,                 1.4054,                 2.4745,                 1.6593,             0.00069552,             0.00069552,             0.00069552
                      5,                 1.2749,                 1.0194,                 1.3217,                0.88084,                0.70102,                0.78608,                0.52343,                 1.2257,                 1.6976,                 1.4517,             0.00086453,             0.00086453,             0.00086453
                      6,                 1.3445,                  1.067,                 1.3814,                0.33637,                0.37872,                0.43174,                0.25055,                 1.3493,                 2.8367,                 1.5411,              0.0010299,              0.0010299,              0.0010299
                      7,                 1.3134,                0.97992,                 1.3894,                0.85533,                0.67894,                0.76923,                0.49529,                 1.2939,                 1.7342,                 1.5321,              0.0011917,              0.0011917,              0.0011917
                      8,                 1.4054,                 1.0026,                 1.4365,                0.83178,                0.85179,                0.87285,                0.52086,                 1.2696,                 1.1518,                 1.5174,              0.0013498,              0.0013498,              0.0013498
                      9,                 1.3234,                0.97641,                   1.38,                0.73294,                 0.7355,                0.84549,                0.55009,                 1.2396,                 1.9991,                 1.4594,              0.0015043,              0.0015043,              0.0015043
                     10,                 1.3262,                 1.0654,                 1.3891,                0.77036,                0.74344,                0.70977,                0.41065,                 1.4305,                 1.6479,                 1.5888,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.2931,                 1.0705,                 1.3776,                0.31108,                0.31579,                0.30604,                0.14835,                 2.4194,                 6.5016,                 2.9696,              0.0015185,              0.0015185,              0.0015185
                     12,                 1.3124,                0.97706,                 1.3397,                0.48486,                0.45876,                0.45538,                0.27232,                 1.7031,                 5.1871,                 1.8585,               0.001502,               0.001502,               0.001502
