                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2867,                 2.4026,                  1.436,                0.73086,                0.72967,                0.78497,                0.58224,                 1.0202,                 1.0041,                 1.2429,             0.00010073,             0.00010073,             0.00010073
                      2,                 1.1909,                 1.0816,                 1.3024,                0.77847,                0.85845,                 0.8598,                0.63969,                 1.0316,                0.79738,                 1.2227,             0.00019973,             0.00019973,             0.00019973
                      3,                 1.1801,                0.96121,                 1.3009,                0.82069,                 0.8119,                0.85387,                0.63415,                 1.0189,                0.76841,                 1.2224,             0.00029673,             0.00029673,             0.00029673
                      4,                 1.1683,                0.89696,                 1.2855,                 0.8079,                0.88041,                 0.8796,                0.65335,                 0.9937,                 0.6848,                 1.2051,               0.000294,               0.000294,               0.000294
                      5,                 1.1374,                0.83649,                 1.2676,                0.84723,                0.85757,                0.90136,                0.67885,                 0.9942,                0.63706,                 1.1842,               0.000294,               0.000294,               0.000294
                      6,                 1.1334,                0.79219,                 1.2643,                0.85428,                0.90706,                0.90622,                0.69629,                0.99516,                0.58303,                 1.1964,               0.000291,               0.000291,               0.000291
                      7,                 1.1098,                0.75769,                 1.2483,                0.86924,                0.92887,                0.93625,                0.72229,                0.97374,                0.58879,                 1.1662,               0.000288,               0.000288,               0.000288
                      8,                 1.1072,                0.74352,                 1.2434,                0.85939,                0.92106,                0.92651,                0.71773,                0.96145,                0.57685,                 1.1584,               0.000285,               0.000285,               0.000285
                      9,                 1.0809,                0.71016,                 1.2299,                0.84659,                0.89791,                0.90753,                0.69343,                0.97322,                0.60097,                 1.1765,               0.000282,               0.000282,               0.000282
                     10,                  1.071,                0.69332,                 1.2246,                0.84017,                0.89306,                0.91693,                0.70365,                0.95831,                0.58229,                 1.1681,               0.000279,               0.000279,               0.000279
                     11,                 1.0534,                0.68318,                 1.2189,                0.89087,                0.88668,                0.90968,                0.70709,                0.94443,                0.54952,                 1.1417,               0.000276,               0.000276,               0.000276
                     12,                 1.0455,                0.67043,                 1.2145,                 0.8925,                0.90788,                0.91786,                0.70929,                0.95703,                0.53827,                 1.1724,               0.000273,               0.000273,               0.000273
                     13,                 1.0276,                0.64464,                 1.2042,                0.89075,                0.91352,                0.93137,                0.71713,                0.94192,                0.52335,                 1.1549,                0.00027,                0.00027,                0.00027
                     14,                  1.024,                0.63386,                 1.1977,                 0.9023,                0.91119,                 0.9356,                 0.7274,                 0.9376,                0.50814,                 1.1548,               0.000267,               0.000267,               0.000267
                     15,                 1.0146,                0.62854,                  1.191,                0.85931,                0.93855,                0.93675,                0.72865,                 0.9379,                0.53204,                  1.145,               0.000264,               0.000264,               0.000264
                     16,                 1.0012,                0.62505,                 1.1879,                0.89566,                0.91241,                0.94378,                0.74044,                0.94601,                0.48777,                 1.1711,               0.000261,               0.000261,               0.000261
                     17,                0.99145,                0.61092,                 1.1873,                0.87924,                0.93498,                0.94623,                0.73958,                0.93536,                0.51591,                 1.1632,               0.000258,               0.000258,               0.000258
