                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0899,                0.89965,                 1.2165,                0.97058,                0.88383,                0.95545,                 0.7174,                0.93457,                0.50711,                 1.0736,              0.0033286,              0.0033286,              0.0033286
                      2,                0.98206,                0.57187,                  1.096,                0.97018,                0.92338,                0.97666,                0.74224,                0.88982,                0.45095,                 1.0271,               0.006596,               0.006596,               0.006596
                      3,                 1.0242,                0.61938,                 1.1229,                0.97431,                0.91023,                 0.9728,                0.72138,                0.94237,                0.51665,                  1.072,              0.0097974,              0.0097974,              0.0097974
                      4,                 1.0425,                0.63487,                 1.1376,                0.95518,                0.92849,                0.97602,                0.73517,                0.92155,                0.49003,                 1.0656,               0.009703,               0.009703,               0.009703
                      5,                 1.0201,                0.60211,                 1.1313,                0.97076,                0.92079,                0.97832,                0.74524,                0.89604,                0.46169,                 1.0772,               0.009703,               0.009703,               0.009703
                      6,                0.98568,                0.56699,                 1.1129,                0.95349,                0.94726,                0.98011,                0.75618,                0.85718,                0.43724,                 1.0389,               0.009604,               0.009604,               0.009604
                      7,                0.96301,                0.54153,                 1.1026,                0.98078,                 0.9429,                0.98346,                0.76341,                0.84821,                0.41672,                 1.0224,               0.009505,               0.009505,               0.009505
                      8,                0.94495,                0.52311,                 1.0888,                0.97534,                0.94587,                0.98324,                0.76905,                0.84436,                0.40721,                 1.0261,               0.009406,               0.009406,               0.009406
                      9,                0.92863,                 0.5096,                 1.0852,                0.97001,                0.95908,                 0.9858,                0.77442,                0.83797,                0.38616,                 1.0265,               0.009307,               0.009307,               0.009307
                     10,                0.91609,                0.49537,                 1.0764,                0.98109,                  0.959,                0.98746,                0.78246,                0.83188,                0.37277,                 1.0117,               0.009208,               0.009208,               0.009208
                     11,                0.90396,                0.48323,                  1.069,                0.97004,                0.96304,                0.98688,                0.78454,                0.81757,                0.37202,                 1.0153,               0.009109,               0.009109,               0.009109
                     12,                0.89481,                0.47567,                 1.0637,                0.96139,                0.94389,                0.98143,                 0.7736,                0.82603,                0.40011,                 1.0077,                0.00901,                0.00901,                0.00901
                     13,                0.88276,                0.46449,                 1.0626,                0.98504,                0.96238,                0.98979,                0.79619,                0.80748,                0.35945,                  1.021,               0.008911,               0.008911,               0.008911
                     14,                 0.8742,                0.45702,                 1.0548,                0.98761,                0.96238,                0.99027,                0.79331,                0.79912,                0.35392,                 1.0046,               0.008812,               0.008812,               0.008812
                     15,                0.86134,                0.45081,                 1.0443,                0.97352,                0.97083,                0.98781,                0.79688,                0.79045,                 0.3485,                 1.0033,               0.008713,               0.008713,               0.008713
                     16,                0.85448,                0.44282,                 1.0414,                0.97463,                0.96368,                 0.9857,                0.79005,                0.78894,                0.35244,                0.98157,               0.008614,               0.008614,               0.008614
