                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.5196,                  2.698,                 1.3971,                0.67404,                0.66128,                0.70871,                0.40459,                 1.3522,                 1.6404,                 1.3343,             0.00035552,             0.00035552,             0.00035552
                      2,                 1.4496,                 1.2771,                 1.3485,                0.73176,                0.58373,                0.68614,                0.38644,                 1.3959,                 1.3035,                 1.4192,               0.000715,               0.000715,               0.000715
                      3,                 1.4159,                 1.1242,                 1.3476,                0.51933,                0.61939,                0.59329,                0.33107,                 1.4449,                 1.2751,                  1.478,              0.0010672,              0.0010672,              0.0010672
                      4,                 1.4206,                 1.0659,                 1.3727,                0.78735,                0.65733,                0.76534,                0.41581,                 1.4341,                 1.1906,                 1.5199,               0.001078,               0.001078,               0.001078
                      5,                 1.3938,                0.95453,                 1.3463,                0.57823,                0.69266,                0.72555,                 0.4029,                 1.3895,                 1.2464,                 1.4831,               0.001078,               0.001078,               0.001078
                      6,                 1.3652,                0.92113,                 1.3142,                0.76193,                0.77019,                0.81492,                0.45558,                 1.4161,                 0.9454,                 1.4885,               0.001067,               0.001067,               0.001067
                      7,                 1.3724,                0.93999,                 1.3338,                0.75708,                0.74933,                0.79678,                0.46525,                 1.3622,                 0.9998,                 1.4163,               0.001056,               0.001056,               0.001056
                      8,                 1.3618,                0.90827,                 1.3055,                 0.7555,                0.73719,                0.75624,                0.43991,                 1.3471,                0.88644,                 1.4072,               0.001045,               0.001045,               0.001045
                      9,                 1.3526,                0.86309,                 1.3117,                0.77091,                0.71813,                 0.8155,                0.45094,                 1.3892,                 1.1261,                 1.4426,               0.001034,               0.001034,               0.001034
                     10,                 1.3574,                0.87695,                 1.3113,                0.85516,                0.82511,                0.86779,                 0.4977,                 1.3269,                0.84552,                 1.3817,               0.001023,               0.001023,               0.001023
                     11,                 1.3284,                0.84917,                 1.2975,                0.85038,                0.82911,                0.85746,                0.50368,                 1.3338,                0.74544,                 1.3754,               0.001012,               0.001012,               0.001012
                     12,                 1.2846,                0.81995,                 1.2753,                0.79138,                0.79388,                0.85093,                0.49321,                 1.3166,                0.84288,                  1.396,               0.001001,               0.001001,               0.001001
                     13,                 1.2933,                0.80743,                 1.2808,                 0.8264,                0.86999,                0.88155,                0.51598,                 1.3219,                0.74062,                 1.3778,             0.00099001,             0.00099001,             0.00099001
                     14,                 1.2781,                0.77751,                 1.2681,                0.81848,                0.77238,                0.82991,                0.49366,                 1.2861,                0.75622,                 1.3642,             0.00097901,             0.00097901,             0.00097901
                     15,                 1.2865,                0.78394,                 1.2754,                0.84616,                0.84192,                0.86767,                0.53454,                 1.2818,                0.71691,                  1.348,             0.00096801,             0.00096801,             0.00096801
                     16,                 1.2612,                0.78664,                 1.2512,                0.83792,                0.80683,                0.85889,                0.51775,                 1.3434,                0.74301,                 1.3753,             0.00095702,             0.00095702,             0.00095702
                     17,                 1.2789,                0.77562,                 1.2752,                0.88221,                0.80478,                0.88462,                0.50381,                 1.3275,                 0.7207,                 1.4005,             0.00094602,             0.00094602,             0.00094602
                     18,                 1.2481,                0.76695,                 1.2556,                0.80967,                0.87243,                0.88598,                0.52542,                 1.2986,                0.68972,                 1.3746,             0.00093502,             0.00093502,             0.00093502
                     19,                 1.2059,                0.72446,                 1.2217,                0.85434,                0.82734,                0.88718,                 0.5477,                 1.2427,                0.68357,                 1.3602,             0.00092402,             0.00092402,             0.00092402
                     20,                 1.2331,                0.73516,                 1.2418,                0.84576,                0.83756,                 0.8817,                0.54809,                 1.2645,                0.66016,                 1.3516,             0.00091302,             0.00091302,             0.00091302
                     21,                 1.2285,                0.71107,                 1.2369,                0.89028,                0.79936,                0.88354,                0.53612,                 1.2717,                0.67406,                 1.3529,             0.00090202,             0.00090202,             0.00090202
                     22,                 1.2195,                0.71621,                 1.2341,                0.83659,                0.79208,                0.85358,                0.52311,                 1.2741,                 0.7145,                 1.3754,             0.00089102,             0.00089102,             0.00089102
                     23,                 1.2332,                0.71685,                 1.2491,                0.84866,                0.84302,                0.87198,                0.52611,                 1.3001,                0.70663,                 1.3811,             0.00088002,             0.00088002,             0.00088002
                     24,                 1.2214,                0.74608,                 1.2382,                0.80386,                0.85059,                0.85977,                0.51208,                 1.2856,                0.68684,                 1.3453,             0.00086902,             0.00086902,             0.00086902
                     25,                 1.1802,                0.72334,                  1.214,                0.89703,                0.83609,                0.89288,                0.56338,                 1.2683,                0.64327,                 1.3471,             0.00085803,             0.00085803,             0.00085803
                     26,                 1.2002,                0.69676,                 1.2199,                0.86953,                0.86011,                0.89446,                0.55657,                 1.2694,                0.63499,                 1.3516,             0.00084703,             0.00084703,             0.00084703
                     27,                  1.244,                0.74206,                 1.2512,                0.84778,                0.84893,                 0.8902,                0.54892,                 1.2813,                0.67733,                 1.3602,             0.00083603,             0.00083603,             0.00083603
                     28,                 1.2107,                0.67909,                 1.2128,                 0.8508,                0.85924,                0.89039,                0.55924,                 1.2934,                 0.6422,                 1.3788,             0.00082503,             0.00082503,             0.00082503
                     29,                 1.1893,                0.68136,                 1.2247,                0.88968,                0.83453,                0.88903,                0.54762,                 1.2647,                0.65548,                 1.3473,             0.00081403,             0.00081403,             0.00081403
                     30,                 1.1788,                0.68723,                 1.2142,                0.86949,                0.86822,                0.89708,                0.54849,                 1.2804,                0.66345,                 1.3562,             0.00080303,             0.00080303,             0.00080303
                     31,                 1.1803,                0.66539,                 1.2043,                   0.86,                0.86318,                0.88777,                0.54614,                 1.3038,                0.66052,                 1.3644,             0.00079203,             0.00079203,             0.00079203
                     32,                 1.1767,                0.67779,                  1.223,                0.85118,                0.86268,                0.89041,                0.55857,                 1.2507,                0.64259,                  1.347,             0.00078103,             0.00078103,             0.00078103
                     33,                 1.1564,                 0.6419,                 1.1947,                0.87466,                0.86268,                 0.8928,                0.53921,                 1.2677,                0.63406,                 1.3483,             0.00077003,             0.00077003,             0.00077003
                     34,                 1.1638,                0.64648,                 1.2065,                0.88738,                0.86582,                0.89263,                0.55273,                 1.3035,                0.64288,                 1.3626,             0.00075904,             0.00075904,             0.00075904
                     35,                 1.1602,                0.63937,                 1.1867,                0.89543,                0.82652,                0.87973,                0.54118,                 1.2735,                0.65746,                 1.3592,             0.00074804,             0.00074804,             0.00074804
                     36,                 1.1666,                 0.6606,                 1.2189,                0.87275,                0.84466,                0.88813,                0.55295,                 1.2618,                0.64131,                 1.3401,             0.00073704,             0.00073704,             0.00073704
                     37,                 1.1771,                0.64115,                 1.2052,                0.86696,                0.84785,                0.88979,                0.56905,                 1.2517,                0.63421,                 1.3389,             0.00072604,             0.00072604,             0.00072604
                     38,                 1.1665,                0.63577,                 1.1927,                0.89851,                0.84429,                0.89904,                0.56423,                 1.2525,                0.62621,                 1.3544,             0.00071504,             0.00071504,             0.00071504
                     39,                 1.1545,                0.63899,                  1.188,                0.85562,                0.84283,                0.88597,                0.55815,                 1.2568,                0.63523,                 1.3489,             0.00070404,             0.00070404,             0.00070404
                     40,                 1.1264,                0.63917,                 1.1849,                0.88613,                0.85687,                0.89222,                0.55883,                 1.2725,                0.60788,                  1.352,             0.00069304,             0.00069304,             0.00069304
                     41,                 1.1251,                0.60529,                 1.1788,                0.89368,                0.81231,                0.89546,                0.55454,                 1.2677,                0.61639,                 1.3522,             0.00068204,             0.00068204,             0.00068204
                     42,                 1.1058,                0.61365,                 1.1721,                0.89694,                0.83065,                0.89183,                0.55805,                 1.2942,                0.63283,                  1.367,             0.00067104,             0.00067104,             0.00067104
                     43,                  1.124,                0.60809,                 1.1926,                0.86245,                0.84976,                0.89096,                0.55291,                  1.288,                0.64548,                 1.3591,             0.00066005,             0.00066005,             0.00066005
                     44,                  1.107,                0.61763,                 1.1789,                0.85215,                0.87485,                0.87696,                0.55137,                 1.2552,                0.62685,                 1.3362,             0.00064905,             0.00064905,             0.00064905
                     45,                 1.1002,                0.59505,                 1.1667,                0.88661,                0.85297,                 0.8864,                0.55369,                 1.2721,                0.61063,                 1.3565,             0.00063805,             0.00063805,             0.00063805
                     46,                 1.0995,                0.59137,                 1.1646,                0.90106,                0.84667,                0.90691,                 0.5736,                 1.2484,                0.57927,                 1.3471,             0.00062705,             0.00062705,             0.00062705
                     47,                 1.0898,                0.57451,                  1.169,                0.87572,                0.87406,                0.90616,                0.56349,                 1.2608,                0.59681,                 1.3538,             0.00061605,             0.00061605,             0.00061605
                     48,                 1.0986,                0.60364,                 1.1548,                 0.8882,                0.85561,                0.90269,                0.58308,                 1.2229,                0.59478,                 1.3145,             0.00060505,             0.00060505,             0.00060505
                     49,                 1.1084,                0.59139,                 1.1676,                0.88257,                0.84147,                 0.8956,                0.57603,                 1.2533,                0.61102,                 1.3407,             0.00059405,             0.00059405,             0.00059405
                     50,                 1.0885,                0.59152,                 1.1549,                0.85499,                0.83169,                0.87865,                0.57064,                 1.2522,                0.65064,                 1.3408,             0.00058305,             0.00058305,             0.00058305
                     51,                 1.0689,                0.57883,                 1.1538,                0.86542,                0.83915,                0.88508,                0.55227,                 1.2698,                0.60629,                 1.3635,             0.00057205,             0.00057205,             0.00057205
                     52,                 1.0777,                0.58046,                  1.165,                0.85523,                0.84206,                0.88814,                0.55649,                 1.2675,                0.59939,                 1.3577,             0.00056105,             0.00056105,             0.00056105
                     53,                 1.0655,                0.56435,                  1.141,                0.90092,                0.85628,                0.89828,                0.55163,                 1.2774,                0.60212,                 1.3614,             0.00055006,             0.00055006,             0.00055006
                     54,                 1.0502,                0.56165,                 1.1494,                0.83499,                0.87505,                0.88643,                0.55009,                 1.2629,                0.62569,                 1.3582,             0.00053906,             0.00053906,             0.00053906
                     55,                 1.0509,                 0.5669,                 1.1422,                0.85671,                0.88034,                0.89955,                0.56378,                 1.2864,                 0.6055,                 1.3655,             0.00052806,             0.00052806,             0.00052806
                     56,                 1.0662,                0.56611,                 1.1398,                0.87677,                 0.8623,                0.89351,                 0.5526,                 1.2704,                  0.604,                 1.3829,             0.00051706,             0.00051706,             0.00051706
                     57,                 1.0505,                0.56171,                 1.1365,                0.87651,                 0.8665,                0.90251,                0.56904,                  1.251,                0.60197,                 1.3516,             0.00050606,             0.00050606,             0.00050606
                     58,                 1.0101,                 0.5341,                 1.1131,                0.87974,                0.84591,                0.89202,                0.55292,                 1.2466,                0.60157,                 1.3585,             0.00049506,             0.00049506,             0.00049506
                     59,                 1.0551,                0.56848,                 1.1373,                0.86563,                0.87057,                0.89146,                0.55179,                 1.2563,                0.58068,                 1.3622,             0.00048406,             0.00048406,             0.00048406
                     60,                 1.0062,                0.52881,                 1.1127,                0.87128,                0.84301,                0.89882,                0.55666,                  1.257,                0.59313,                 1.3718,             0.00047306,             0.00047306,             0.00047306
                     61,                 1.0519,                0.54775,                 1.1478,                0.87956,                 0.8478,                0.88505,                0.54799,                 1.2893,                0.60105,                 1.3851,             0.00046206,             0.00046206,             0.00046206
                     62,                 1.0396,                0.53409,                 1.1427,                0.87799,                0.85068,                0.88702,                 0.5479,                 1.2707,                0.59327,                 1.3723,             0.00045107,             0.00045107,             0.00045107
                     63,                 1.0294,                0.52864,                 1.1267,                0.88498,                0.83178,                 0.8814,                0.55491,                 1.2663,                0.61249,                 1.3651,             0.00044007,             0.00044007,             0.00044007
                     64,                 1.0216,                0.55661,                 1.1314,                 0.8484,                0.87858,                0.88435,                0.54329,                 1.2653,                0.60295,                  1.381,             0.00042907,             0.00042907,             0.00042907
                     65,                 1.0164,                0.53032,                 1.1246,                0.87061,                0.84468,                0.88603,                0.55429,                 1.2598,                0.59737,                 1.3733,             0.00041807,             0.00041807,             0.00041807
                     66,                 0.9873,                0.52768,                 1.1087,                0.88912,                0.86363,                0.89151,                  0.556,                 1.2597,                0.60119,                 1.3859,             0.00040707,             0.00040707,             0.00040707
                     67,                0.98729,                0.51859,                 1.1055,                0.86895,                0.84941,                0.89548,                0.55374,                 1.2694,                0.62191,                 1.3833,             0.00039607,             0.00039607,             0.00039607
                     68,                0.98237,                0.50705,                 1.0946,                0.88633,                0.85305,                0.90027,                0.56954,                 1.2449,                0.59443,                 1.3559,             0.00038507,             0.00038507,             0.00038507
                     69,                 1.0046,                0.52266,                 1.1353,                0.86819,                0.83867,                0.89314,                0.55559,                 1.2775,                0.60368,                 1.3763,             0.00037407,             0.00037407,             0.00037407
                     70,                0.96994,                0.50824,                 1.0985,                0.86772,                 0.8465,                0.89451,                0.55186,                 1.2812,                0.61634,                 1.3867,             0.00036307,             0.00036307,             0.00036307
                     71,                0.97148,                0.51554,                  1.113,                0.89032,                0.83168,                0.89974,                0.55677,                  1.277,                0.58575,                 1.3857,             0.00035208,             0.00035208,             0.00035208
                     72,                0.97498,                0.49722,                 1.1017,                0.89038,                0.86092,                 0.8991,                 0.5585,                 1.2554,                0.56714,                 1.3677,             0.00034108,             0.00034108,             0.00034108
                     73,                0.95003,                0.51977,                 1.0979,                0.88356,                 0.8512,                0.88775,                0.55903,                 1.2472,                0.57189,                 1.3587,             0.00033008,             0.00033008,             0.00033008
                     74,                0.96631,                0.50203,                  1.095,                0.89063,                0.83976,                 0.8986,                0.56876,                 1.2459,                0.59755,                 1.3531,             0.00031908,             0.00031908,             0.00031908
                     75,                0.95956,                0.49176,                 1.1115,                0.88672,                0.84204,                0.89693,                0.57068,                 1.2483,                0.57675,                  1.361,             0.00030808,             0.00030808,             0.00030808
                     76,                0.94742,                0.51001,                 1.0897,                0.86146,                0.87359,                0.89357,                0.56668,                 1.2456,                0.57158,                 1.3579,             0.00029708,             0.00029708,             0.00029708
                     77,                0.96851,                0.50236,                 1.0931,                0.89263,                0.84659,                0.88659,                0.56143,                 1.2459,                0.59681,                 1.3657,             0.00028608,             0.00028608,             0.00028608
                     78,                0.91743,                 0.4849,                 1.0844,                0.88324,                0.83782,                0.88489,                0.55905,                 1.2529,                0.59159,                 1.3792,             0.00027508,             0.00027508,             0.00027508
                     79,                 0.9511,                0.49536,                 1.0861,                0.89611,                0.83247,                0.88953,                0.55984,                  1.257,                0.59003,                 1.3892,             0.00026408,             0.00026408,             0.00026408
                     80,                0.93016,                  0.485,                  1.093,                0.84845,                0.86166,                0.88724,                0.55306,                 1.2706,                0.59268,                 1.4065,             0.00025309,             0.00025309,             0.00025309
                     81,                0.90313,                0.47521,                 1.0677,                 0.8845,                0.83395,                0.88837,                 0.5577,                 1.2602,                0.57738,                 1.3951,             0.00024209,             0.00024209,             0.00024209
                     82,                0.92047,                0.47706,                 1.0709,                0.89316,                0.82779,                0.88706,                 0.5632,                 1.2488,                0.57698,                 1.3733,             0.00023109,             0.00023109,             0.00023109
                     83,                0.90836,                0.47258,                 1.0801,                0.90549,                0.83941,                0.89936,                0.56201,                 1.2503,                0.57243,                  1.381,             0.00022009,             0.00022009,             0.00022009
                     84,                0.91878,                0.47144,                  1.077,                0.86517,                0.85865,                0.89136,                0.55919,                 1.2452,                0.57376,                 1.3709,             0.00020909,             0.00020909,             0.00020909
                     85,                0.91721,                0.46984,                 1.0842,                 0.8501,                0.86394,                0.88533,                0.55991,                 1.2376,                0.57202,                 1.3707,             0.00019809,             0.00019809,             0.00019809
                     86,                 0.9027,                0.47482,                 1.0677,                0.87647,                0.85735,                0.88803,                0.55943,                 1.2381,                0.56948,                 1.3798,             0.00018709,             0.00018709,             0.00018709
                     87,                0.89364,                0.46324,                 1.0604,                0.87212,                0.86499,                0.88406,                0.55441,                 1.2578,                0.57079,                 1.3882,             0.00017609,             0.00017609,             0.00017609
                     88,                0.92177,                0.46579,                 1.0727,                0.87424,                0.86117,                0.89635,                0.56518,                 1.2502,                0.57934,                 1.3928,             0.00016509,             0.00016509,             0.00016509
                     89,                0.88762,                0.44805,                 1.0634,                0.87556,                0.86926,                0.89835,                0.56691,                 1.2506,                0.58449,                 1.3934,              0.0001541,              0.0001541,              0.0001541
                     90,                0.88159,                 0.4466,                 1.0502,                0.87079,                0.86628,                0.89395,                0.56683,                 1.2624,                  0.584,                  1.409,              0.0001431,              0.0001431,              0.0001431
                     91,                 0.8652,                0.41541,                 1.0794,                0.85754,                 0.8625,                0.88474,                0.56527,                 1.2655,                0.57778,                  1.402,              0.0001321,              0.0001321,              0.0001321
                     92,                0.84715,                0.40829,                 1.0819,                0.88616,                0.84304,                0.88497,                0.55973,                 1.2586,                0.57895,                 1.4013,              0.0001211,              0.0001211,              0.0001211
                     93,                0.84011,                0.40013,                  1.052,                0.89911,                 0.8355,                0.88576,                0.55875,                 1.2613,                0.58355,                 1.4024,              0.0001101,              0.0001101,              0.0001101
                     94,                0.81768,                0.38908,                 1.0522,                0.85851,                0.86245,                0.88462,                0.55963,                 1.2606,                0.58377,                 1.3996,             9.9101e-05,             9.9101e-05,             9.9101e-05
                     95,                0.82094,                 0.3889,                  1.066,                0.86644,                0.86084,                0.88721,                0.55994,                 1.2603,                0.59011,                 1.4032,             8.8102e-05,             8.8102e-05,             8.8102e-05
                     96,                0.81984,                0.38785,                 1.0581,                0.87219,                0.86185,                 0.8873,                0.55838,                 1.2613,                0.58374,                 1.4123,             7.7103e-05,             7.7103e-05,             7.7103e-05
                     97,                0.80899,                0.38737,                 1.0575,                0.90907,                0.84553,                0.89329,                0.56315,                 1.2657,                0.58261,                 1.4123,             6.6105e-05,             6.6105e-05,             6.6105e-05
                     98,                0.79797,                0.38121,                 1.0497,                0.91002,                0.84168,                0.89255,                0.56024,                 1.2646,                0.58153,                 1.4132,             5.5106e-05,             5.5106e-05,             5.5106e-05
